type,title,date,link
meeting-minute,"March 11, 2025 NRCGA Minutes",2025-03-11,assets/meeting-minutes/11March2025NRCGA_Minutes.pdf
meeting-minute,"May 13, 2025 NRCGA Minutes",2025-05-13,assets/meeting-minutes/13May2025NRCGA_Minutes.pdf
meeting-minute,"January 21, 2025 NRCGA Minutes",2025-01-21,assets/meeting-minutes/21January2025NRCGA_Minutes.pdf
meeting-minute,"July 8, 2025 NRCGA Meeting Minutes",2025-07-08,assets/meeting-minutes/8July2025NRCGA_MeetingMinutes.pdf
meeting-minute,"September 9, 2025 NRCGA Meeting Minutes",2025-09-09,assets/meeting-minutes/9Sept2025NRCGA_MeetingMinutes.pdf
meeting-minute,"November 19, 2025 NRCGA Meeting Minutes",2025-11-19,assets/meeting-minutes/19November2025NRCGA_MeetingMinutes.pdf
meeting-minute,"January 16, 2024 NRCGA Meeting Minutes",2024-01-16,assets/meeting-minutes/16Jan2024NRCGA_MeetingMinutes.pdf
meeting-minute,"March 19, 2024 NRCGA Meeting Minutes",2024-03-19,assets/meeting-minutes/19March2024NRCGA_MeetingMinutes.pdf
meeting-minute,"May 21, 2024 NRCGA Meeting Minutes",2024-05-21,assets/meeting-minutes/21May2024NRCGA_MeetingMinutes.pdf
meeting-minute,"July 16, 2024 NRCGA Meeting Minutes",2024-07-16,assets/meeting-minutes/16July2024NRCGA_MeetingMinutes.pdf
meeting-minute,"September 17, 2024 NRCGA Meeting Minutes",2024-09-17,assets/meeting-minutes/17September2024NRCGA_MeetingMinutes.pdf
meeting-minute,"January 17, 2023 NRCGA Minutes",2023-01-17,assets/meeting-minutes/17Jan2023NRCGA_Minutes.pdf
meeting-minute,"March 21, 2023 NRCGA Minutes",2023-03-21,assets/meeting-minutes/21March2023NRCGA_Minutes.pdf
meeting-minute,"May 16, 2023 NRCGA Minutes",2023-05-16,assets/meeting-minutes/16May2023NRCGA_Minutes.pdf
meeting-minute,"July 18, 2023 NRCGA Meeting Minutes",2023-07-18,assets/meeting-minutes/18July2023NRCGA_MeetingMinutes.pdf
meeting-minute,"September 19, 2023 NRCGA Minutes",2023-09-19,assets/meeting-minutes/19Sept2023NRCGA_Minutes.pdf
meeting-minute,"November 28, 2023 NRCGA Minutes",2023-11-28,assets/meeting-minutes/28Nov2023NRCGA_Minutes.pdf
meeting-minute,"January 18, 2022 NRCGA Minutes",2022-01-18,assets/meeting-minutes/18Jan2022NRCGA_Minutes.pdf
meeting-minute,"March 15, 2022 NRCGA Minutes",2022-03-15,assets/meeting-minutes/15March2022NRCGA_Minutes.pdf
meeting-minute,"May 17, 2022 NRCGA Minutes",2022-05-17,assets/meeting-minutes/17May2022NRCGA_Minutes.pdf
meeting-minute,"July 19, 2022 NRCGA Minutes",2022-07-19,assets/meeting-minutes/19July2022NRCGA_Minutes.pdf
meeting-minute,"September 20, 2022 NRCGA Minutes",2022-09-20,assets/meeting-minutes/20Sept2022NRCGA_Minutes.pdf
meeting-minute,"November 15, 2022 Minutes",2022-11-15,assets/meeting-minutes/Nov-15-2022-Minutes.pdf
meeting-minute,"January 2021 Membership Meeting Minutes",2021-01-01,assets/meeting-minutes/Jan2021MembershipMeetingMinutes.pdf
meeting-minute,"March 16, 2021 NRCGA Membership Meeting Minutes",2021-03-16,assets/meeting-minutes/16March2021NRCGAMembershipMeetingMinutes.pdf
meeting-minute,"May 18, 2021 NRCGA Meeting Minutes",2021-05-18,assets/meeting-minutes/18May2021NRCGA_MeetingMinutes.pdf
meeting-minute,"July 20, 2021 Membership Meeting Minutes",2021-07-20,assets/meeting-minutes/20July2021MembershipMeetingMinutes.pdf
meeting-minute,"September 21, 2021 NRCGA Membership Meeting Minutes",2021-09-21,assets/meeting-minutes/21Sept2021NRCGAMembershipMeetingMinutes.pdf
meeting-minute,"November 16, 2021 General Membership Meeting Minutes",2021-11-16,assets/meeting-minutes/16November2021GeneralMembershipMeetingMinutes.pdf
historical-document,"2024 Year in Review",2024-12-31,https://nrcga.org/wp-content/uploads/2025/02/2024YearInReview.pdf
historical-document,"NRCGA News - October 15, 2025",2025-10-15,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=172f032ec8
historical-document,"NRCGA News - October 3, 2025",2025-10-03,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=d99e2b7bbf
historical-document,"NRCGA News - September 25, 2025",2025-09-25,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=c8f67bbb2c
historical-document,"NRCGA News - September 2, 2025",2025-09-02,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=194d2c67d1
historical-document,"NRCGA News - August 28, 2025",2025-08-28,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=40c9b997eb
historical-document,"NRCGA News - August 14, 2025",2025-08-14,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=395e266247
historical-document,"NRCGA News - July 31, 2025",2025-07-31,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=b16edea36c
historical-document,"NRCGA News - July 14, 2025",2025-07-14,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=13bfee245a
historical-document,"NRCGA News - July 3, 2025",2025-07-03,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=ab6274895e
historical-document,"NRCGA News - May 28, 2025",2025-05-28,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=c5159c106a
historical-document,"Silver Shovel 2025 Photos",2025-04-30,https://photos.google.com/share/AF1QipOYDUvAe8F0NQQvdruT5dIqXO4N-Xa7lx0qTmWxx5DklP08FDI_Ixs9Vh2MyHZ1Tg?pli=1&key=YVNVaFdrNmNNc2NsbnVqOW9Ubkt4cWFBblpSMHp3
historical-document,"NRCGA News - December 17, 2024",2024-12-17,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=6671b257a6
historical-document,"NRCGA News - November 12, 2024",2024-11-12,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=85e6b52995
historical-document,"NRCGA News - October 21, 2024",2024-10-21,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=3f7092de05
historical-document,"NRCGA News - October 7, 2024",2024-10-07,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=0813c0e677
historical-document,"NRCGA News - September 11, 2024",2024-09-11,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=5de2f0a667
historical-document,"NRCGA News - August 16, 2024",2024-08-16,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=22aa905750
historical-document,"NRCGA News - August 6, 2024",2024-08-06,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=f713f2f2e6
historical-document,"NRCGA News - July 24, 2024",2024-07-24,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=a9267ac790
historical-document,"NRCGA News - July 17, 2024",2024-07-17,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=9a133ebe0f
historical-document,"NRCGA News - June 17, 2024",2024-06-17,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=67d0a8db19
historical-document,"NRCGA News - May 7, 2024",2024-05-07,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=e37d6f2a07
historical-document,"NRCGA News - April 11, 2024",2024-04-11,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=179364537e
historical-document,"NRCGA News - April 5, 2024",2024-04-05,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=db59055352
historical-document,"NRCGA News - March 26, 2024",2024-03-26,https://us14.campaign-archive.com/?u=b243e7d888e61419cd6101e59&id=3c0214275f
