Type,Company Name,Stakeholder Group,Voting Member,Website,Category,Term,Contact Person,Is Board Member,Is Chair,Is Vice Chair
Stakeholder,Advanced Spade Company,Locator,Yes,https://advancedspadecompany.com/,Locator,,Daniel Kimminau,0,0,0
Stakeholder,AIMS Companies,Excavator,Yes,https://www.aimscompanies.com/,Excavator,,Bob Jeralds,0,0,0
Stakeholder,AT&T,Telecom,Yes,https://www.att.com/,Telecom,2025-2026,Wayne Scott,1,0,0
Stakeholder,Byrd Underground,Excavator,Yes,http://www.byrdunderground.com/,Excavator,,Tyler Byrd,0,0,0
Stakeholder,C and S Co. Inc.,Excavator,Yes,https://candscoinc.com/,Excavator,,Saundra Waggoner,0,0,0
Stakeholder,City of Boulder City Public Works,Public Works,Yes,https://www.bcnv.org/221/Public-Works,Public Works,,Steve Priscu,0,0,0
Stakeholder,City of Henderson Public Works,Public Works,Yes,https://www.cityofhenderson.com/government/departments/public-works,Public Works,2025-2026,Lance Olson,1,0,0
Stakeholder,City of Las Vegas Public Works,Public Works,Yes,https://www.lasvegasnevada.gov/Government/Departments/Public-Works,Public Works,,Kondala Mantri,0,0,0
Stakeholder,Clark County Public Works,Public Works,Yes,https://www.clarkcountynv.gov/government/departments/public_works_department/index.php,Public Works,,Sal Partida,0,0,0
Stakeholder,Clark County Water Reclamation District,Sewer,Yes,https://www.cleanwaterteam.com/,Sewer,2026-2027,Boyd Duchene,1,0,0
Stakeholder,Cox Communications,Telecommunications,Yes,http://cox.com,Telecommunications,,Beryl Cox,0,0,0
Stakeholder,ELM Utility Services,Locator,Yes,https://elmllc.com/,Locator,2026-2027,Austin Benedict,1,0,0
Stakeholder,Empire Cat,Excavator,Yes,https://www.empire-cat.com/locations/henderson,Excavator,,Seth Hendrickson,0,0,0
Stakeholder,Ervin Cable Construction,Excavator,Yes,https://ervincable.com/,Excavator,,Patricia Pritchard,0,0,0
Stakeholder,GigaPower,Telecommunication,Yes,https://gigapower.com/,Telecommunication,,,0,0,0
Stakeholder,Google Fiber,Telecommunication,Yes,https://fiber.google.com/,Telecommunication,,Michelle Koyle,0,0,0
Stakeholder,Great Basin Gas Transmission Company,Pipeline,Yes,https://www.greatbasingtc.com/,Pipeline,,Rusty McLaughlin,0,0,0
Stakeholder,HF Sinclair,Pipeline,Yes,https://www.hfsinclair.com/home/default.aspx,Pipeline,,Mark Largesse,0,0,0
Stakeholder,Hole Hogz,Excavator,Yes,https://www.holehogz.com/,Excavator,,Robert McKechnie,0,0,0
